日付,小売店名,店舗名,ブランド名,商品名,売上数量,売上金額,年月,登録日時
2026-06-22,PLAZA,玉川高島屋SC店,YOU TOKYO,YOU TOKYO ヘアオイル BS,2,4560,2026-06,2026-07-17 08:07:15
2026-06-22,PLAZA,ルミネ横浜店,ラフドット,ラフドット インティメイトウォッシュ PM,1,3582,2026-06,2026-07-17 08:07:15
2026-06-22,PLAZA,ルミネ横浜店,（不明）,フルーシービタミンドロップクロミ,1,900,2026-06,2026-07-17 08:07:15
2026-06-22,PLAZA,ルミネ横浜店,YOU TOKYO,YOU TOKYO ヘアミルク RR,1,2680,2026-06,2026-07-17 08:07:15
2026-06-22,PLAZA,ルミネ横浜店,YOU TOKYO,YOU TOKYO ヘアオイル RR,1,2280,2026-06,2026-07-17 08:07:15
2026-06-22,PLAZA,アトレ大井町店,YOU TOKYO,YOU TOKYO ヘアミルク RR,1,2680,2026-06,2026-07-17 08:07:15
2026-06-22,PLAZA,ルミネ大宮店,ラフドット,ラフドット インティメイトウォッシュ PM,1,3582,2026-06,2026-07-17 08:07:15
2026-06-22,PLAZA,ルミネ大宮店,（不明）,フルーシー ビヨウエキクロミ,2,5000,2026-06,2026-07-17 08:07:15
2026-06-22,PLAZA,ルミネ大宮店,（不明）,フルーシービタミンドロップクロミ,2,1800,2026-06,2026-07-17 08:07:15
2026-06-22,PLAZA,ルミネ大宮店,YOU TOKYO,YOU TOKYO ヘアミルク RR,1,2680,2026-06,2026-07-17 08:07:15
2026-06-22,PLAZA,ルミネ新宿店,（不明）,フルーシービタミンドロップクロミ,2,1800,2026-06,2026-07-17 08:07:15
2026-06-22,PLAZA,ルミネ新宿店,YOU TOKYO,YOU TOKYO ヘアミルク CW,1,2680,2026-06,2026-07-17 08:07:15
2026-06-22,PLAZA,アミュプラザ小倉店,YOU TOKYO,YOU TOKYO ヘアミルク RR,1,2680,2026-06,2026-07-17 08:07:15
2026-06-22,PLAZA,汐留シオサイト店,ラフドット,ラフドット インティメイトウォッシュ SB,1,3582,2026-06,2026-07-17 08:07:15
2026-06-22,PLAZA,汐留シオサイト店,ラフドット,ラフドット インティメイトFミスト SB,1,3132,2026-06,2026-07-17 08:07:15
2026-06-22,PLAZA,京都ポルタ店,YOU TOKYO,YOU TOKYO ヘアミルク RR,1,2680,2026-06,2026-07-17 08:07:15
