日付,小売店名,店舗名,ブランド名,商品名,売上数量,売上金額,年月,登録日時
2026-05-13,PLAZA,オンラインストア,レチスパ,レチスパ クリームシャンプー,1,3200,2026-05,2026-06-04 03:32:50
2026-05-04,PLAZA,コクーンシティさいたま新都心店,レチスパ,レチスパ ヘアオイル,1,2400,2026-05,2026-06-04 03:32:50
2026-05-31,PLAZA,三宮店,ラフドット,ラフドット インティメイトウォッシュ SB,1,3582,2026-05,2026-07-17 08:07:15
2026-05-31,PLAZA,梅田ヘップファイブ店,ラフドット,ラフドット インティメイトFミスト PM,1,3132,2026-05,2026-07-17 08:07:15
2026-05-31,PLAZA,玉川高島屋SC店,YOU TOKYO,YOU TOKYO ヘアミルク CW,4,10720,2026-05,2026-07-17 08:07:15
2026-05-31,PLAZA,玉川高島屋SC店,YOU TOKYO,YOU TOKYO ヘアミルク RR,2,5360,2026-05,2026-07-17 08:07:15
2026-05-31,PLAZA,玉川高島屋SC店,YOU TOKYO,YOU TOKYO ヘアオイル BS,1,2280,2026-05,2026-07-17 08:07:15
2026-05-31,PLAZA,玉川高島屋SC店,YOU TOKYO,YOU TOKYO ヘアオイル RR,1,2280,2026-05,2026-07-17 08:07:15
2026-05-31,PLAZA,ルミネ横浜店,YOU TOKYO,YOU TOKYO ヘアミルク CW,2,5360,2026-05,2026-07-17 08:07:15
2026-05-31,PLAZA,ルミネ大宮店,YOU TOKYO,YOU TOKYO ヘアミルク CW,1,2680,2026-05,2026-07-17 08:07:15
2026-05-31,PLAZA,ルミネ大宮店,YOU TOKYO,YOU TOKYO ヘアミルク RR,1,2680,2026-05,2026-07-17 08:07:15
2026-05-31,PLAZA,ルミネ新宿店,YOU TOKYO,YOU TOKYO ヘアミルク CW,1,2680,2026-05,2026-07-17 08:07:15
2026-05-31,PLAZA,ルミネ新宿店,YOU TOKYO,YOU TOKYO ヘアミルク RR,1,2680,2026-05,2026-07-17 08:07:15
2026-05-31,PLAZA,ルミネ新宿店,YOU TOKYO,YOU TOKYO ヘアオイル BS,1,2280,2026-05,2026-07-17 08:07:15
2026-05-31,PLAZA,汐留シオサイト店,ラフドット,ラフドット インティメイトウォッシュ SB,1,3582,2026-05,2026-07-17 08:07:15
2026-05-31,PLAZA,汐留シオサイト店,ラフドット,ラフドット インティメイトウォッシュ LV,1,3582,2026-05,2026-07-17 08:07:15
2026-05-31,PLAZA,横浜ジョイナス店,YOU TOKYO,YOU TOKYO ヘアミルク RR,2,5360,2026-05,2026-07-17 08:07:15
2026-05-31,PLAZA,横浜ジョイナス店,YOU TOKYO,YOU TOKYO ヘアオイル RR,1,2280,2026-05,2026-07-17 08:07:15
2026-05-31,PLAZA,京都ポルタ店,YOU TOKYO,YOU TOKYO ヘアミルク CW,1,2680,2026-05,2026-07-17 08:07:15
2026-05-31,PLAZA,京都ポルタ店,YOU TOKYO,YOU TOKYO ヘアミルク RR,1,2680,2026-05,2026-07-17 08:07:15
2026-05-31,PLAZA,イオンモール羽生店,YOU TOKYO,YOU TOKYO ヘアミルク RR,2,5360,2026-05,2026-07-17 08:07:15
2026-05-31,PLAZA,新越谷ヴァリエ店,YOU TOKYO,YOU TOKYO ヘアミルク CW,1,2680,2026-05,2026-07-17 08:07:15
2026-05-31,PLAZA,新越谷ヴァリエ店,YOU TOKYO,YOU TOKYO ヘアオイル BS,1,2280,2026-05,2026-07-17 08:07:15
2026-05-31,PLAZA,福岡ソラリアプラザ店,ラフドット,ラフドット インティメイトウォッシュ PM,1,3582,2026-05,2026-07-17 08:07:15
2026-05-31,PLAZA,イオンモール堺北花田店,ラフドット,ラフドット インティメイトウォッシュ PM,2,7164,2026-05,2026-07-17 08:07:15
2026-05-31,PLAZA,柏高島屋ステーションモール店,ラフドット,ラフドット インティメイトウォッシュ PM,1,3582,2026-05,2026-07-17 08:07:15
2026-05-31,PLAZA,大船ルミネウイング店,YOU TOKYO,YOU TOKYO ヘアミルク CW,1,2680,2026-05,2026-07-17 08:07:15
2026-05-31,PLAZA,大船ルミネウイング店,YOU TOKYO,YOU TOKYO ヘアミルク RR,1,2680,2026-05,2026-07-17 08:07:15
2026-05-31,PLAZA,天王寺ミオ店,YOU TOKYO,YOU TOKYO ヘアミルク RR,1,2680,2026-05,2026-07-17 08:07:15
2026-05-31,PLAZA,天王寺ミオ店,バイワンシー,バイワンシー スムースリペアエッセンス,3,8100,2026-05,2026-07-17 08:07:15
2026-05-31,PLAZA,アトレ川越店,ラフドット,ラフドット インティメイトウォッシュ SB,1,3582,2026-05,2026-07-17 08:07:15
2026-05-31,PLAZA,アトレ川越店,YOU TOKYO,YOU TOKYO ヘアミルク RR,1,2680,2026-05,2026-07-17 08:07:15
2026-05-31,PLAZA,アトレ恵比寿店,ラフドット,ラフドット インティメイトウォッシュ SB,1,3582,2026-05,2026-07-17 08:07:15
