日付,小売店名,店舗名,ブランド名,商品名,売上数量,売上金額,年月,登録日時
2026-04-28,PLAZA,オンラインストア,TEABLESS,TEABLESS ボディローションLW,1,1500,2026-04,2026-05-18 12:46:55
2026-04-26,PLAZA,横浜ジョイナス店,TEABLESS,TEABLESS ボディローションPG,1,1500,2026-04,2026-05-18 12:46:55
2026-04-26,PLAZA,イオンモールむさし村山店,TEABLESS,TEABLESS ボディローションMR,1,1500,2026-04,2026-05-18 12:46:55
2026-04-26,PLAZA,神戸三田プレミアムアウトレット,TEABLESS,TEABLESS ボディローションLW,1,1500,2026-04,2026-05-18 12:46:55
2026-04-26,PLAZA,プラザイオンモール福岡店,TEABLESS,TEABLESS ボディローションPG,1,1500,2026-04,2026-05-18 12:46:55
2026-04-25,PLAZA,ペリエ千葉店,TEABLESS,TEABLESS ボディローションPG,1,1500,2026-04,2026-05-18 12:46:55
2026-04-24,PLAZA,アトレ恵比寿店,TEABLESS,TEABLESS ボディローションMR,1,1500,2026-04,2026-05-18 12:46:55
2026-04-24,PLAZA,ららぽーとTOKYO-BAY店,TEABLESS,TEABLESS ボディローションLW,1,1500,2026-04,2026-05-18 12:46:55
2026-04-22,PLAZA,神戸三田プレミアムアウトレット,TEABLESS,TEABLESS ボディローションLW,1,1500,2026-04,2026-05-18 12:46:55
2026-04-22,PLAZA,ラスカ茅ケ崎店,TEABLESS,TEABLESS ボディローションMR,1,1500,2026-04,2026-05-18 12:46:55
2026-04-22,PLAZA,京都四条店,TEABLESS,TEABLESS ボディローションAE,1,1500,2026-04,2026-05-18 12:46:55
2026-04-21,PLAZA,渋谷109店,TEABLESS,TEABLESS ボディローションMR,2,3000,2026-04,2026-05-18 12:46:55
2026-04-21,PLAZA,ペリエ千葉店,TEABLESS,TEABLESS ボディローションAE,1,1500,2026-04,2026-05-18 12:46:55
2026-04-20,PLAZA,アトレ大井町店,TEABLESS,TEABLESS ボディローションMR,1,1500,2026-04,2026-05-18 12:46:55
2026-04-20,PLAZA,ルミネ池袋店,TEABLESS,TEABLESS ボディローションAE,1,1500,2026-04,2026-05-18 12:46:55
2026-04-20,PLAZA,ルミネ有楽町店,TEABLESS,TEABLESS ボディローションAE,1,1500,2026-04,2026-05-18 12:46:55
2026-04-19,PLAZA,ルミネ横浜店,TEABLESS,TEABLESS ボディローションPG,1,1500,2026-04,2026-05-18 12:46:55
2026-04-19,PLAZA,ルミネ横浜店,TEABLESS,TEABLESS ボディローションMR,1,1500,2026-04,2026-05-18 12:46:55
2026-04-19,PLAZA,ルミネ池袋店,TEABLESS,TEABLESS ボディローションPG,1,1500,2026-04,2026-05-18 12:46:55
2026-04-19,PLAZA,上野マルイ店,TEABLESS,TEABLESS ボディローションLW,1,1500,2026-04,2026-05-18 12:46:55
2026-04-18,PLAZA,三宮店,TEABLESS,TEABLESS ボディローションLW,1,1500,2026-04,2026-05-18 12:46:55
2026-04-18,PLAZA,神戸三田プレミアムアウトレット,TEABLESS,TEABLESS ボディローションAE,1,1500,2026-04,2026-05-18 12:46:55
2026-04-18,PLAZA,プラザイオンモール浜松市野店,TEABLESS,TEABLESS ボディローションAE,1,1500,2026-04,2026-05-18 12:46:55
2026-04-17,PLAZA,ルミネ新宿店,TEABLESS,TEABLESS ボディローションLW,1,1500,2026-04,2026-05-18 12:46:55
2026-04-17,PLAZA,御殿場プレミアムアウトレット店,TEABLESS,TEABLESS ボディローションPG,1,1500,2026-04,2026-05-18 12:46:55
2026-04-17,PLAZA,京橋京阪モール店,TEABLESS,TEABLESS ボディローションMR,1,1500,2026-04,2026-05-18 12:46:55
2026-04-17,PLAZA,京都四条店,TEABLESS,TEABLESS ボディローションLW,1,1500,2026-04,2026-05-18 12:46:55
2026-04-17,PLAZA,ルミネ有楽町店,TEABLESS,TEABLESS ボディローションAE,1,1500,2026-04,2026-05-18 12:46:55
2026-04-17,PLAZA,プラザミナモア広島店,TEABLESS,TEABLESS ボディローションPG,1,1500,2026-04,2026-05-18 12:46:55
2026-04-16,PLAZA,神戸三田プレミアムアウトレット,TEABLESS,TEABLESS ボディローションLW,1,1500,2026-04,2026-05-18 12:46:55
2026-04-16,PLAZA,神戸三田プレミアムアウトレット,TEABLESS,TEABLESS ボディローションMR,1,1500,2026-04,2026-05-18 12:46:55
2026-04-15,PLAZA,三宮店,TEABLESS,TEABLESS ボディローションLW,1,1500,2026-04,2026-05-18 12:46:55
2026-04-15,PLAZA,三宮店,TEABLESS,TEABLESS ボディローションMR,1,1500,2026-04,2026-05-18 12:46:55
2026-04-15,PLAZA,ルミネ大宮店,TEABLESS,TEABLESS ボディローションMR,1,1500,2026-04,2026-05-18 12:46:55
2026-04-15,PLAZA,イオンモール堺北花田店,TEABLESS,TEABLESS ボディローションPG,1,1500,2026-04,2026-05-18 12:46:55
2026-04-15,PLAZA,天王寺ミオ店,TEABLESS,TEABLESS ボディローションAE,2,3000,2026-04,2026-05-18 12:46:55
2026-04-15,PLAZA,天王寺ミオ店,TEABLESS,TEABLESS ボディローションPG,2,3000,2026-04,2026-05-18 12:46:55
2026-04-15,PLAZA,天王寺ミオ店,TEABLESS,TEABLESS ボディローションMR,2,3000,2026-04,2026-05-18 12:46:55
2026-04-15,PLAZA,アトレ川越店,TEABLESS,TEABLESS ボディローションAE,1,1500,2026-04,2026-05-18 12:46:55
2026-04-15,PLAZA,三井アウトレットマリンピア神戸,TEABLESS,TEABLESS ボディローションAE,1,1500,2026-04,2026-05-18 12:46:55
2026-04-15,PLAZA,三井アウトレットマリンピア神戸,TEABLESS,TEABLESS ボディローションPG,1,1500,2026-04,2026-05-18 12:46:55
2026-04-13,PLAZA,アトレ川越店,TEABLESS,TEABLESS ボディローションLW,1,1500,2026-04,2026-05-18 12:46:55
