日付,小売店名,店舗名,ブランド名,商品名,売上数量,売上金額,年月,登録日時
2026-05-01,アットコスメ,ルミネエスト新宿店,資生堂プロフェッショナル,アデノバイタルアイラッシュセラム  6g,17,39100,2026-05,2026-06-02 04:04:20
2026-05-01,アットコスメ,ルミネエスト新宿店,m+,オーガニックバター  45g,7,18900,2026-05,2026-06-02 04:04:20
2026-05-01,アットコスメ,ルミネエスト新宿店,リセニュア,クレンジングクリーム ジャー  100g,1,2700,2026-05,2026-06-02 04:04:20
2026-05-01,アットコスメ,ルミネエスト新宿店,リフレッスー,モンチッチくん&モンチッチちゃん1  1.5ml,11,6380,2026-05,2026-06-02 04:04:20
2026-05-01,アットコスメ,ルミネエスト新宿店,リフレッスー,モンチッチくん  1.5ml,23,13340,2026-05,2026-06-02 04:04:20
2026-05-01,アットコスメ,ルミネエスト新宿店,リフレッスー,ドットカラー  1.5ml,17,9860,2026-05,2026-06-02 04:04:20
2026-05-01,アットコスメ,ルミネエスト新宿店,リフレッスー,まめっち  1.5ml,11,6380,2026-05,2026-06-02 04:04:20
2026-05-01,アットコスメ,ルミネエスト新宿店,Dr.Bio,ブルーアガベヒアルロン酸クリーム  50g,2,3800,2026-05,2026-06-02 04:04:20
2026-05-01,アットコスメ,ルミネエスト新宿店,Dr.Bio,ブルーアガベヒアルロン酸セラム  50g,1,1900,2026-05,2026-06-02 04:04:20
2026-05-01,アットコスメ,ルミネエスト新宿店,レチスパ,頭皮用美容液  130g,1,2500,2026-05,2026-06-02 04:04:20
2026-05-01,アットコスメ,ルミネエスト新宿店,SOMARCA(ソマルカ),カラーチャージ ピンク 130g,2,4400,2026-05,2026-06-02 04:04:20
2026-05-01,アットコスメ,ルミネエスト新宿店,SOMARCA(ソマルカ),カラーチャージ パープル 130g,4,8800,2026-05,2026-06-02 04:04:20
2026-05-01,アットコスメ,ルミネエスト新宿店,SOMARCA(ソマルカ),カラーシャンプー ピンク 150ml,6,14400,2026-05,2026-06-02 04:04:20
2026-05-01,アットコスメ,ルミネエスト新宿店,SOMARCA(ソマルカ),カラーシャンプー パープル 150ml,6,14400,2026-05,2026-06-02 04:04:20
2026-05-01,アットコスメ,上野マルイ店,Veganifect,青麦LHAクレンジングジェル  205ml,1,2100,2026-05,2026-06-02 04:04:20
