日付,小売店名,店舗名,ブランド名,商品名,売上数量,売上金額,年月,登録日時
2026-05-31,ロフト,ロフト201,ルベル,イオ シャンプー クリアメント200,1,1600,2026-05,2026-06-01 16:21:41
2026-05-31,ロフト,ロフト201,ルベル,イオ シャンプー リラックスメント200,12,19200,2026-05,2026-06-01 16:21:41
2026-05-31,ロフト,ロフト201,ルベル,イオ エッセンス スリーク,6,12000,2026-05,2026-06-01 16:21:41
2026-05-31,ロフト,ロフト201,ルベル,イオ クリーム シルキーリペア 200,18,28800,2026-05,2026-06-01 16:21:41
2026-05-31,ロフト,ロフト201,ルベル,イオ クリーム メルトリペア 200,12,19200,2026-05,2026-06-01 16:21:41
2026-05-31,ロフト,ロフト201,ルベル,イオ ディープマスク,2,6000,2026-05,2026-06-01 16:21:41
2026-05-31,ロフト,ロフト201,ルベル,イオセラム シャンプー 200,13,26000,2026-05,2026-06-01 16:21:41
2026-05-31,ロフト,ロフト201,ルベル,イオセラム クリーム 200,10,20000,2026-05,2026-06-01 16:21:41
2026-05-31,ロフト,ロフト201,ルベル,イオセラム オイル 100,3,7200,2026-05,2026-06-01 16:21:41
2026-05-31,ロフト,ロフト201,ルベル,イオセラム マスク 170,2,6400,2026-05,2026-06-01 16:21:41
2026-05-31,ロフト,ロフト201,ルベル,ルベル ウィズ SW 240,5,5000,2026-05,2026-06-01 16:21:41
2026-05-31,ロフト,ロフト201,ルベル,ルベル ウィズ EP 140,2,2400,2026-05,2026-06-01 16:21:41
2026-05-31,ロフト,ロフト201,ルベル,トリエ フォーム 4,15,22500,2026-05,2026-06-01 16:21:41
2026-05-31,ロフト,ロフト201,VIAGE,ビューティアップナイトブラ ブラックM,7,20860,2026-05,2026-06-01 16:21:41
2026-05-31,ロフト,ロフト201,VIAGE,ビューティアップナイトブラ ブラックL,4,11920,2026-05,2026-06-01 16:21:41
2026-05-31,ロフト,ロフト201,ラフドット,ラフドットインティメイトウォッシュ SB,11,39402,2026-05,2026-06-01 16:21:41
2026-05-31,ロフト,ロフト201,ラフドット,ラフインティメイトフレッシュミスト SB,3,9396,2026-05,2026-06-01 16:21:41
2026-05-31,ロフト,ロフト201,VIAGE,ビューティアップナイトブラ BグレーM,4,11920,2026-05,2026-06-01 16:21:41
2026-05-31,ロフト,ロフト201,VIAGE,ビューティアップナイトブラ BグレーL,6,17880,2026-05,2026-06-01 16:21:41
2026-05-31,ロフト,ロフト201,ラフドット,ラフドットインティメイトウォッシュ PM,18,64476,2026-05,2026-06-01 16:21:41
2026-05-31,ロフト,ロフト201,ラフドット,ラフインティメイトフレッシュミスト PM,7,21924,2026-05,2026-06-01 16:21:41
2026-05-31,ロフト,ロフト201,ラフドット,ラフドットインティメイトウォッシュ AL,2,7164,2026-05,2026-06-01 16:21:41
2026-05-31,ロフト,ロフト201,レチスパ,レチスパ クリームシャンプー,3,9600,2026-05,2026-06-01 16:21:41
2026-05-31,ロフト,ロフト201,レチスパ,レチスパ クリームシャンプーサシェ,16,3200,2026-05,2026-06-01 16:21:41
2026-05-31,ロフト,ロフト201,レチスパ,レチスパ ヘアオイル,4,9600,2026-05,2026-06-01 16:21:41
2026-05-31,ロフト,ロフト201,レチスパ,レチスパ クリームシャンプー詰替,4,12400,2026-05,2026-06-01 16:21:41
2026-05-31,ロフト,ロフト201,レチスパ,レチスパ 頭皮用美容液,3,7500,2026-05,2026-06-01 16:21:41
2026-05-31,ロフト,ロフト201,ベルミス,ベルミス スリムレギンス M-L,1,3990,2026-05,2026-06-01 16:21:41
2026-05-31,ロフト,ロフト201,ベルミス,ベルミス スリムレギンス L-LL,3,11970,2026-05,2026-06-01 16:21:41
2026-05-31,ロフト,ロフト201,ベルミス,ベルミス カラープラスBK M,1,4536,2026-05,2026-06-01 16:21:41
2026-05-31,ロフト,ロフト201,ベルミス,ベルミス カラープラスAGY M,1,4536,2026-05,2026-06-01 16:21:41
2026-05-31,ロフト,ロフト201,ベルミス,ベルミス カラープラスBK L,2,9072,2026-05,2026-06-01 16:21:41
2026-05-31,ロフト,ロフト201,ラフドット,ラフドット 薬用ホワイトセラム,2,6472,2026-05,2026-06-01 16:21:41
2026-05-31,ロフト,ロフト201,ラフドット,ラフドット ヘアリムーバー,1,3400,2026-05,2026-06-01 16:21:41
2026-05-31,ロフト,ロフト201,ラフドット,ラフドットインティメイトウォッシュ MV,4,14328,2026-05,2026-06-01 16:21:41
2026-05-31,ロフト,ロフト201,（不明）,カラマンビューティブラシ,1,14364,2026-05,2026-06-01 16:21:41
2026-05-31,ロフト,ロフト201,バイワンシー,バイワンシー モイストブースターホイップ,2,4400,2026-05,2026-06-01 16:21:41
2026-05-31,ロフト,ロフト201,ベルミス,ベルミス スリムフルレッグLーLL,1,4718,2026-05,2026-06-01 16:21:41
2026-05-31,ロフト,ロフト201,ベルミス,ベルミス スリムフルレッグ M-L,1,4718,2026-05,2026-06-01 16:21:41
2026-05-31,ロフト,ロフト201,ベルミス,リムーブレギンスSG L-LL,1,11182,2026-05,2026-06-01 16:21:41
2026-05-31,ロフト,ロフト201,ベルミス,スリムレギンス Premium Lv1,2,10890,2026-05,2026-06-01 16:21:41
2026-05-31,ロフト,ロフト201,ベルミス,スリムレギンス Premium Lv2,2,10890,2026-05,2026-06-01 16:21:41
2026-05-31,ロフト,ロフト201,ベルミス,スリムレギンス Premium Lv3,7,38115,2026-05,2026-06-01 16:21:41
2026-05-31,ロフト,ロフト201,ベルミス,スリムフルレッグ クールプラス M-L,3,14154,2026-05,2026-06-01 16:21:41
2026-05-31,ロフト,ロフト201,ベルミス,スリムフルレッグ クールプラス L-LL,2,9436,2026-05,2026-06-01 16:21:41
2026-05-31,ロフト,ロフト201,My+Cee,My+Cee ビタミンCサプリメント,1,2980,2026-05,2026-06-01 16:21:41
2026-05-31,ロフト,ロフト201,インシトゥ,インシトゥ ハーブラピール,12,28800,2026-05,2026-06-01 16:21:41
2026-05-31,ロフト,ロフト201,wolg,wolg BBクリーム ナチュラル,2,5418,2026-05,2026-06-01 16:21:41
2026-05-31,ロフト,ロフト201,バイワンシー,バイワンシー ピュア・アミノシャンプー,1,2700,2026-05,2026-06-01 16:21:41
2026-05-31,ロフト,ロフト201,バイワンシー,バイワンシー ヒートケア・トリートメント,1,2700,2026-05,2026-06-01 16:21:41
2026-05-31,ロフト,ロフト201,バイワンシー,バイワンシー スムース・リペアエッセンス,5,13500,2026-05,2026-06-01 16:21:41
2026-05-31,ロフト,ロフト201,ekam,ekam アドバンスドジェル,3,8127,2026-05,2026-06-01 16:21:41
2026-05-31,ロフト,ロフト201,ekam,ekam アドバンスドセラム,1,3164,2026-05,2026-06-01 16:21:41
2026-05-31,ロフト,ロフト201,ekam,ekam ホイップ洗顔,2,3600,2026-05,2026-06-01 16:21:41
2026-05-31,ロフト,ロフト201,（不明）,ヒノキフットピーリングマスク,1,720,2026-05,2026-06-01 16:21:41
2026-05-31,ロフト,ロフト201,（不明）,かかと集中ピーリングマスク,3,1740,2026-05,2026-06-01 16:21:41
2026-05-31,ロフト,ロフト201,Vイフェクト,Vイフェクト青麦ジンクセラム,1,2300,2026-05,2026-06-01 16:21:41
2026-05-31,ロフト,ロフト201,Vイフェクト,Vイフェクト青麦LHAクレンジングジェル,2,4200,2026-05,2026-06-01 16:21:41
2026-05-31,ロフト,ロフト201,（不明）,かかとソフトパッチ,4,3000,2026-05,2026-06-01 16:21:41
