日付,小売店名,店舗名,ブランド名,商品名,売上数量,売上金額,年月,登録日時
2026-05-31,ハンズ,ハンズ全店,レチスパ,レチスパ;クリームシャンプー;サシェ,376,74950,2026-05,2026-06-04 06:46:21
2026-05-31,ハンズ,ハンズ全店,YOU TOKYO,YOU TOKYO;ヘアミルク;シトラスホワイト,366,973933,2026-05,2026-06-04 06:46:21
2026-05-31,ハンズ,ハンズ全店,バイワンシー,バイワンシー;シャンプー&トリートメント サシェ;,363,97654,2026-05,2026-06-04 06:46:21
2026-05-31,ハンズ,ハンズ全店,バイワンシー,バイワンシー;スムースリペアエッセンス サシェ;10g,215,57666,2026-05,2026-06-04 06:46:21
2026-05-31,ハンズ,ハンズ全店,インシトゥ,インシトゥ;ハーブラピール4包;,191,457801,2026-05,2026-06-04 06:46:21
2026-05-31,ハンズ,ハンズ全店,ラフドット,ラフドット;インティメイトウォッシュ;SB,179,639751,2026-05,2026-06-04 06:46:21
2026-05-31,ハンズ,ハンズ全店,（不明）,モレモ;SGダブルサシェ(SH&TR2X);10ml×,177,24725,2026-05,2026-06-04 06:46:21
2026-05-31,ハンズ,ハンズ全店,ラフドット,ラフドット;インティメイトウォッシュ;PM,177,631091,2026-05,2026-06-04 06:46:21
2026-05-31,ハンズ,ハンズ全店,（不明）,Sorara Beauty;ネイルチップ;SS4,171,338330,2026-05,2026-06-04 06:46:21
2026-05-31,ハンズ,ハンズ全店,（不明）,m+;オーガニックバター ;45g,163,439156,2026-05,2026-06-04 06:46:21
2026-05-31,ハンズ,ハンズ全店,YOU TOKYO,YOU TOKYO;ヘアミルク;ラヴィアンローズ,141,374939,2026-05,2026-06-04 06:46:21
2026-05-31,ハンズ,ハンズ全店,YOU TOKYO,YOU TOKYO;ヘアオイル;ビュルデサボン,135,306664,2026-05,2026-06-04 06:46:21
2026-05-31,ハンズ,ハンズ全店,（不明）,Sorara Beauty;ネイルチップ;SS5,127,250922,2026-05,2026-06-04 06:46:21
2026-05-31,ハンズ,ハンズ全店,（不明）,モレモ;SGダブルサシェ(SH&TR10);10ml×,124,17308,2026-05,2026-06-04 06:46:21
2026-05-31,ハンズ,ハンズ全店,（不明）,Sorara Beauty;ネイルチップ;SS6,124,244583,2026-05,2026-06-04 06:46:21
2026-05-31,ハンズ,ハンズ全店,（不明）,Sorara Beauty;ネイルチップ;SS10,110,217822,2026-05,2026-06-04 06:46:21
2026-05-31,ハンズ,ハンズ全店,（不明）,m+;オーガニックオイル;50ml,106,158329,2026-05,2026-06-04 06:46:21
2026-05-31,ハンズ,ハンズ全店,（不明）,Sorara Beauty;ネイルチップ;SS1,105,207219,2026-05,2026-06-04 06:46:21
2026-05-31,ハンズ,ハンズ全店,（不明）,SALTRAIN;トラベルキット ピンク;,100,79720,2026-05,2026-06-04 06:46:21
2026-05-31,ハンズ,ハンズ全店,（不明）,Sorara Beauty;ネイルチップ;SS2,99,195427,2026-05,2026-06-04 06:46:21
2026-05-31,ハンズ,ハンズ全店,（不明）,Sorara Beauty;ネイルチップ;SS3,90,177687,2026-05,2026-06-04 06:46:21
2026-05-31,ハンズ,ハンズ全店,（不明）,Sorara Beauty;ネイルチップ;SS7,86,170353,2026-05,2026-06-04 06:46:21
2026-05-31,ハンズ,ハンズ全店,（不明）,fru:C;フルーシー;28ml,80,198750,2026-05,2026-06-04 06:46:21
2026-05-31,ハンズ,ハンズ全店,（不明）,モレモ;シルキーリッチセット;バームミニ付,75,124931,2026-05,2026-06-04 06:46:21
2026-05-31,ハンズ,ハンズ全店,（不明）,SALTRAIN;トラベルキット ブルー;,73,58320,2026-05,2026-06-04 06:46:21
2026-05-31,ハンズ,ハンズ全店,（不明）,Sorara Beauty;ネイルチップ;SS9,72,142211,2026-05,2026-06-04 06:46:21
2026-05-31,ハンズ,ハンズ全店,（不明）,モレモ;モイスチャーリッチセット;バームミニ付,71,115236,2026-05,2026-06-04 06:46:21
2026-05-31,ハンズ,ハンズ全店,（不明）,Sorara Beauty;ネイルチップ;SS8,70,137949,2026-05,2026-06-04 06:46:21
2026-05-31,ハンズ,ハンズ全店,（不明）,フルーシー;ビタミンドロップ5包;5ml,66,59130,2026-05,2026-06-04 06:46:21
2026-05-31,ハンズ,ハンズ全店,ラフドット,laugh.;薬用ホワイトセラム;30g,63,202797,2026-05,2026-06-04 06:46:21
