日付,小売店名,店舗名,ブランド名,商品名,売上数量,売上金額,年月,登録日時
2026-06-03,ロフト,ロフト0235,（不明）,ヒノキフットピーリングマスク,1,720,2026-06,2026-06-08 04:00:51
2026-06-03,ロフト,ロフト0235,（不明）,かかと集中ピーリングマスク,1,580,2026-06,2026-06-08 04:00:51
2026-06-03,ロフト,ロフト0235,TEABLESS,ティーブレスボディローションホワイト,1,1500,2026-06,2026-06-08 04:00:51
2026-06-03,ロフト,ロフト0236,ルベル,イオ エッセンス モイスト,1,2000,2026-06,2026-06-08 04:00:51
2026-06-03,ロフト,ロフト0236,ラフドット,ラフドットインティメイトウォッシュ PM,2,7164,2026-06,2026-06-08 04:00:51
2026-06-03,ロフト,ロフト0236,ベルミス,スリムフルレッグ クールプラス M-L,1,4718,2026-06,2026-06-08 04:00:51
2026-06-03,ロフト,ロフト0237,レチスパ,レチスパ クリームシャンプー詰替,1,3100,2026-06,2026-06-08 04:00:51
2026-06-03,ロフト,ロフト0237,（不明）,フットピーリングダブルエッセンスマスク,1,750,2026-06,2026-06-08 04:00:51
2026-06-03,ロフト,ロフト0251,ラフドット,ラフドットインティメイトウォッシュ SB,1,3582,2026-06,2026-06-08 04:00:51
2026-06-03,ロフト,ロフト0251,ベルミス,ベルミス スリムフルレッグ M-L,1,4718,2026-06,2026-06-08 04:00:51
2026-06-03,ロフト,ロフト0260,ラフドット,ラフドットインティメイトウォッシュ PM,1,3582,2026-06,2026-06-08 04:00:51
2026-06-03,ロフト,ロフト0261,ルベル,イオセラム シャンプー 200,1,2000,2026-06,2026-06-08 04:00:51
2026-06-03,ロフト,ロフト0261,ラフドット,ラフドットインティメイトウォッシュ SB,1,3582,2026-06,2026-06-08 04:00:51
2026-06-03,ロフト,ロフト0261,ラフドット,ラフドットインティメイトウォッシュ PM,2,7164,2026-06,2026-06-08 04:00:51
2026-06-03,ロフト,ロフト0263,ベルミス,ベルミス スリムレギンス L-LL,1,3990,2026-06,2026-06-08 04:00:51
2026-06-03,ロフト,ロフト0263,バイワンシー,バイワンシー スムースリペアESサシェ,4,1080,2026-06,2026-06-08 04:00:51
2026-06-03,ロフト,ロフト0263,バイワンシー,バイワンシー SP&TRサシェ,1,270,2026-06,2026-06-08 04:00:51
2026-06-03,ロフト,ロフト0268,ラフドット,ラフドットインティメイトウォッシュ MV,1,3582,2026-06,2026-06-08 04:00:51
