日付,小売店名,店舗名,ブランド名,商品名,売上数量,売上金額,年月,登録日時
2026-07-07,PLAZA,玉川高島屋SC店,YOU TOKYO,YOU TOKYO ヘアミルク RR,1,2680,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,玉川高島屋SC店,YOU TOKYO,YOU TOKYO ヘアオイル BS,1,2280,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,ルミネ横浜店,（不明）,フルーシービタミンドロップクロミ,2,1800,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,ルミネ横浜店,YOU TOKYO,YOU TOKYO ヘアミルク RR,2,5360,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,ルミネ横浜店,YOU TOKYO,YOU TOKYO ヘアオイル RR,1,2280,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,アトレ大井町店,YOU TOKYO,YOU TOKYO ヘアミルク CW,1,2680,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,ルミネ大宮店,ラフドット,ラフドット インティメイトウォッシュ PM,1,3582,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,ルミネ大宮店,（不明）,ワキキュア,1,3618,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,ルミネ大宮店,YOU TOKYO,YOU TOKYO ヘアミルク RR,1,2680,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,ルミネ新宿店,ラフドット,ラフドット インティメイトウォッシュ SB,1,3582,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,ルミネ新宿店,ラフドット,ラフドット インティメイトウォッシュ PM,1,3582,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,ルミネ新宿店,ラフドット,ラフドット インティメイトFミスト PM,1,3132,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,京都ポルタ店,YOU TOKYO,YOU TOKYO ヘアミルク RR,1,2680,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,イオンモール羽生店,ラフドット,ラフドット インティメイトウォッシュ SB,3,10746,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,イオンモール羽生店,YOU TOKYO,YOU TOKYO ヘアオイル BS,1,2280,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,五反田東急スクエア店,ラフドット,ラフドット インティメイトウォッシュ PM,2,7164,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,福岡ソラリアプラザ店,ラフドット,ラフドット インティメイトウォッシュ MV,1,3582,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,イオンモール堺北花田店,ラフドット,ラフドット インティメイトウォッシュ PM,1,3582,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,大船ルミネウイング店,ラフドット,ラフドット インティメイトウォッシュ MV,1,3582,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,ルミネエスト新宿店,YOU TOKYO,YOU TOKYO ヘアミルク CW,1,2680,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,アトレ恵比寿店,YOU TOKYO,YOU TOKYO ヘアミルク RR,1,2680,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,アトレ川崎店,YOU TOKYO,YOU TOKYO ヘアミルク RR,1,2680,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,ルミネ町田店,ラフドット,ラフドット インティメイトFミスト PM,1,3132,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,ルミネ町田店,YOU TOKYO,YOU TOKYO ヘアミルク RR,1,2680,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,ららぽーとTOKYO-BAY店,YOU TOKYO,YOU TOKYO ヘアミルク RR,2,5360,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,京橋京阪モール店,（不明）,フルーシービタミンドロップクロミ,1,900,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,京橋京阪モール店,YOU TOKYO,YOU TOKYO ヘアミルク RR,1,2680,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,エスパル仙台店,ラフドット,ラフドット インティメイトウォッシュ SB,1,3582,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,ルミネ北千住店,ラフドット,ラフドット インティメイトウォッシュ SB,1,3582,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,ルミネ北千住店,ラフドット,ラフドット インティメイトウォッシュ PM,1,3582,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,ルミネ北千住店,（不明）,ワキキュア,1,3618,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,ルミネ北千住店,YOU TOKYO,YOU TOKYO ヘアミルク CW,1,2680,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,札幌ステラプレイス店,YOU TOKYO,YOU TOKYO ヘアミルク CW,1,2680,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,水戸エクセル店,YOU TOKYO,YOU TOKYO ヘアミルク RR,1,2680,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,ルミネ荻窪店,YOU TOKYO,YOU TOKYO ヘアオイル RR,1,2280,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,ラスカ小田原店,ラフドット,ラフドット インティメイトウォッシュ PM,1,3582,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,ルミネ池袋店,YOU TOKYO,YOU TOKYO ヘアミルク RR,1,2680,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,イオンモールむさし村山店,YOU TOKYO,YOU TOKYO ヘアミルク CW,1,2680,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,三井アウトレットパーク入間店,（不明）,フルーシービタミンドロップクロミ,1,900,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,越谷イオンレイクタウン店,YOU TOKYO,YOU TOKYO ヘアミルク RR,1,2680,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,阪急西宮ガーデンズ店,ラフドット,ラフドット インティメイトウォッシュ SB,1,3582,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,たまプラーザテラス店,YOU TOKYO,YOU TOKYO ヘアミルク CW,2,5360,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,たまプラーザテラス店,YOU TOKYO,YOU TOKYO ヘアミルク RR,1,2680,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,アトレ吉祥寺店,（不明）,フルーシービタミンドロップクロミ,1,900,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,ルクア大阪店,YOU TOKYO,YOU TOKYO ヘアミルク CW,1,2680,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,ルクア大阪店,YOU TOKYO,YOU TOKYO ヘアミルク RR,2,5360,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,ルクア大阪店,YOU TOKYO,YOU TOKYO ヘアオイル BS,1,2280,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,ルクア大阪店,YOU TOKYO,YOU TOKYO ヘアオイル RR,1,2280,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,三井アウトレットパーク木更津店,YOU TOKYO,YOU TOKYO ヘアミルク CW,2,5360,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,ららテラス武蔵小杉店,（不明）,フルーシービタミンドロップクロミ,1,900,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,ラスカ茅ケ崎店,YOU TOKYO,YOU TOKYO ヘアミルク CW,1,2680,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,ラスカ茅ケ崎店,YOU TOKYO,YOU TOKYO ヘアミルク RR,1,2680,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,金沢フォーラス店,（不明）,ワキキュア,1,3618,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,静岡パルシェ店,ラフドット,ラフドット インティメイトウォッシュ PM,1,3582,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,ペリエ千葉店,YOU TOKYO,YOU TOKYO ヘアミルク RR,1,2680,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,名古屋ユニモール店,ラフドット,ラフドット インティメイトウォッシュ SB,1,3582,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,心斎橋パルコ店,ラフドット,ラフドット インティメイトウォッシュ PM,1,3582,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,心斎橋パルコ店,YOU TOKYO,YOU TOKYO ヘアミルク RR,1,2680,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,錦糸町テルミナ2店,YOU TOKYO,YOU TOKYO ヘアミルク CW,1,2680,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,ルミネ有楽町店,ラフドット,ラフドット インティメイトウォッシュ SB,1,3582,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,ルミネ有楽町店,YOU TOKYO,YOU TOKYO ヘアミルク CW,1,2680,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,ルミネ有楽町店,YOU TOKYO,YOU TOKYO ヘアミルク RR,1,2680,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,プラザ天神地下街店,YOU TOKYO,YOU TOKYO ヘアミルク CW,2,5360,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,名古屋サカエチカ店,ラフドット,ラフドット インティメイトウォッシュ SB,1,3582,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,名古屋サカエチカ店,ラフドット,ラフドット インティメイトFミスト SB,1,3132,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,プラザイオンモール筑紫野店,ラフドット,ラフドット インティメイトウォッシュ LV,1,3582,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,プラザイオンモール太田店,ラフドット,ラフドット インティメイトウォッシュ PM,1,3582,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,プラザイオンモール日の出店,ラフドット,ラフドット インティメイトウォッシュ SB,1,3582,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,プラザイオンモール新居浜店,ラフドット,ラフドット インティメイトウォッシュ SB,1,3582,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,プラザ高崎オーパ店,ラフドット,ラフドット インティメイトウォッシュ PM,1,3582,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,プラザミナモア広島店,ラフドット,ラフドット ヤクヨウホワイトセラム,1,3237,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,プラザミナモア広島店,YOU TOKYO,YOU TOKYO ヘアミルク CW,2,5360,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,プラザイオンモール甲府昭和店,YOU TOKYO,YOU TOKYO ヘアミルク CW,2,5360,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,プラザららぽーと磐田店,（不明）,フルーシービタミンドロップクロミ,1,900,2026-07,2026-07-17 08:07:29
2026-07-07,PLAZA,プラザイオンモール高知店,ラフドット,ラフドット インティメイトウォッシュ MV,1,3582,2026-07,2026-07-17 08:07:29
