日付,小売店名,店舗名,ブランド名,商品名,売上数量,売上金額,年月,登録日時
2026-04-01,アットコスメ,ルミネ横浜店,jill leen. ジルリーン,ティアーアイリッドペンシル 103 シャンパンゴールド 0.2g,1,1100,2026-04,2026-05-18 15:46:03
2026-04-01,アットコスメ,ルミネ横浜店,CALATAS,カラタストリートメント ヒートケア パープル,1,2280,2026-04,2026-05-18 15:46:03
2026-04-01,アットコスメ,ルミネ横浜店,資生堂プロフェッショナル,アデノバイタルアイラッシュセラム  6g,15,34500,2026-04,2026-05-18 15:46:03
2026-04-01,アットコスメ,イオン浦和美園店,TEABLESS,アクアアールグレイティーパフュームボディローション  250g,1,1500,2026-04,2026-05-18 15:46:03
2026-04-01,アットコスメ,ららぽーと豊洲店,by one sii,ピュア・アミノシャンプーヒートケア・トリートメントサ  10g×2,6,1620,2026-04,2026-05-18 15:46:03
2026-04-01,アットコスメ,ららぽーと豊洲店,by one sii,スムース・リペアエッセンス サシェ  10g,2,540,2026-04,2026-05-18 15:46:03
2026-04-01,アットコスメ,テルミナ錦糸町店,CALATAS,カラタスシャンプー ヒートケア パープル,2,3960,2026-04,2026-05-18 15:46:03
2026-04-01,アットコスメ,テルミナ錦糸町店,SOMARCA(ソマルカ),カラーシャンプー ピンク 150ml,1,2400,2026-04,2026-05-18 15:46:03
2026-04-01,アットコスメ,テルミナ錦糸町店,ラフドット,インティメイトウォッシュ  100ml,4,14328,2026-04,2026-05-18 15:46:03
2026-04-01,アットコスメ,テルミナ錦糸町店,ラフドット,インティメイトウォッシュ  100ml,2,7164,2026-04,2026-05-18 15:46:03
2026-04-01,アットコスメ,テルミナ錦糸町店,laugh.,薬用ホワイトセラム  30g,2,6472,2026-04,2026-05-18 15:46:03
2026-04-01,アットコスメ,札幌ステラプレイス店,Veganifect,青麦LHAクレンジングジェル  205ml,1,2100,2026-04,2026-05-18 15:46:03
2026-04-01,アットコスメ,札幌ステラプレイス店,リフレッスー,まめっち  1.5ml,4,2320,2026-04,2026-05-18 15:46:03
2026-04-01,アットコスメ,札幌ステラプレイス店,SOMARCA(ソマルカ),カラーシャンプー パープル 150ml,2,4800,2026-04,2026-05-18 15:46:03
2026-04-01,アットコスメ,札幌ステラプレイス店,SOMARCA(ソマルカ),カラーシャンプー ピンク 150ml,1,2400,2026-04,2026-05-18 15:46:03
2026-04-01,アットコスメ,金沢フォーラス店,jill leen. ジルリーン,シャイニング12色ミニアイシャドウ HT02 7.2g,2,3600,2026-04,2026-05-18 15:46:03
2026-04-01,アットコスメ,金沢フォーラス店,jill leen. ジルリーン,シャイニング12色ミニアイシャドウ HT03 7.2g,2,3600,2026-04,2026-05-18 15:46:03
2026-04-01,アットコスメ,金沢フォーラス店,jill leen. ジルリーン,シャイニング12色ミニアイシャドウ HT05 7.2g,5,9000,2026-04,2026-05-18 15:46:03
2026-04-01,アットコスメ,金沢フォーラス店,m+,オーガニックバター  45g,2,5400,2026-04,2026-05-18 15:46:03
2026-04-01,アットコスメ,金沢フォーラス店,リフレッスー,まめっち  1.5ml,6,3480,2026-04,2026-05-18 15:46:03
2026-04-01,アットコスメ,金沢フォーラス店,リフレッスー,みみっち  1.5ml,3,1740,2026-04,2026-05-18 15:46:03
2026-04-01,アットコスメ,NEWoMan高輪店,ラフドット,インティメイトウォッシュ  100ml,2,7164,2026-04,2026-05-18 15:46:03
2026-04-01,アットコスメ,NEWoMan高輪店,ラフドット,インティメイトウォッシュ  100ml,1,3582,2026-04,2026-05-18 15:46:03
2026-04-01,アットコスメ,mozoワンダーシティ店,laugh.,インティメイトフレッシュミスト  14ml,2,6264,2026-04,2026-05-18 15:46:03
2026-04-01,アットコスメ,mozoワンダーシティ店,ラフドット,インティメイトウォッシュ  100ml,7,25074,2026-04,2026-05-18 15:46:03
2026-04-01,アットコスメ,mozoワンダーシティ店,laugh.,インティメイトフレッシュミスト  14ml,2,6264,2026-04,2026-05-18 15:46:03
2026-04-01,アットコスメ,mozoワンダーシティ店,ラフドット,インティメイトウォッシュ  100ml,3,10746,2026-04,2026-05-18 15:46:03
2026-04-01,アットコスメ,mozoワンダーシティ店,ラフドット,インティメイトウォッシュ  100ml,10,35820,2026-04,2026-05-18 15:46:03
